Temp,Pliq,p_vap (MPa),vf (m3/kg),vg (m3/kg),hf,hg (kJ/kg),sf (kJ/kg-K),sg (kJ/kg-K),cpf (kJ/kg-K),cpg (kJ/kg-K),muf (Pa-s),mug (Pa-s)
-100,0.0037157,0.003678,0.00066907,5.3664,60.715,371.75,0.37033,2.1673,1.3487,0.63888,0.00069757,7.66E-06
-99,0.0040667,0.0040267,0.00067035,4.9285,62.064,372.35,0.3781,2.1604,1.348,0.64109,0.00068403,0.000007709
-98,0.0044454,0.004403,0.00067165,4.5316,63.412,372.94,0.38581,2.1536,1.3474,0.64335,0.00067074,7.75E-06
-97,0.0048537,0.0048087,0.00067295,4.1715,64.759,373.53,0.39348,2.1469,1.3468,0.64565,0.00065749,7.80E-06
-96,0.0052933,0.0052456,0.00067426,3.8444,66.106,374.12,0.4011,2.1404,1.3463,0.64799,0.00064466,0.000007845
-95,0.005766,0.0057155,0.00067557,3.5469,67.452,374.72,0.40868,2.134,1.3458,0.65038,0.00063222,7.89E-06
-94,0.006274,0.0062205,0.00067689,3.276,68.798,375.31,0.41621,2.1276,1.3454,0.65281,0.00062016,7.94E-06
-93,0.0068191,0.0067626,0.00067822,3.0289,70.143,375.9,0.4237,2.1214,1.345,0.65529,0.00060846,7.98E-06
-92,0.0074036,0.0073439,0.00067955,2.8035,71.488,376.49,0.43114,2.1153,1.3447,0.65782,0.00059711,8.03E-06
-91,0.0080296,0.0079665,0.00068089,2.5974,72.833,377.08,0.43854,2.1093,1.3445,0.66039,0.00058608,8.07E-06
-90,0.0086995,0.0086329,0.00068224,2.409,74.178,377.66,0.4459,2.1034,1.3443,0.66302,0.00057537,8.12E-06
-89,0.0094156,0.0093453,0.0006836,2.2364,75.523,378.25,0.45322,2.0976,1.3442,0.66569,0.00056495,8.16E-06
-88,0.01018,0.010106,0.00068496,2.0782,76.867,378.84,0.4605,2.0919,1.3441,0.66842,0.00055483,8.21E-06
-87,0.010996,0.010918,0.00068633,1.933,78.211,379.42,0.46774,2.0863,1.344,0.6712,0.00054498,8.25E-06
-86,0.011866,0.011784,0.00068771,1.7996,79.556,380.01,0.47494,2.0808,1.3441,0.67403,0.00053539,8.30E-06
-85,0.012793,0.012706,0.00068909,1.677,80.9,380.59,0.4821,2.0754,1.3441,0.67692,0.00052607,8.35E-06
-84,0.013779,0.013688,0.00069049,1.5641,82.245,381.18,0.48922,2.07,1.3442,0.67986,0.00051698,8.39E-06
-83,0.014827,0.014731,0.00069189,1.4601,83.59,381.76,0.49631,2.0648,1.3444,0.68285,0.00050813,8.44E-06
-82,0.015941,0.01584,0.0006933,1.3641,84.935,382.34,0.50336,2.0596,1.3445,0.6859,0.0004995,8.48E-06
-81,0.017123,0.017017,0.00069472,1.2756,86.28,382.92,0.51037,2.0545,1.3448,0.689,0.0004911,8.53E-06
-80,0.018377,0.018266,0.00069614,1.1938,87.625,383.5,0.51735,2.0495,1.3451,0.69216,0.0004829,8.57E-06
-79,0.019706,0.019589,0.00069758,1.1181,88.971,384.07,0.5243,2.0446,1.3454,0.69538,0.0004749,8.62E-06
-78,0.021113,0.02099,0.00069902,1.0481,90.317,384.65,0.53121,2.0398,1.3457,0.69865,0.0004671,8.67E-06
-77,0.022602,0.022473,0.00070047,0.98323,91.664,385.22,0.53809,2.035,1.3461,0.70198,0.00045948,8.71E-06
-76,0.024176,0.02404,0.00070193,0.92308,93.011,385.8,0.54493,2.0304,1.3466,0.70537,0.00045205,8.76E-06
-75,0.025839,0.025697,0.0007034,0.86726,94.358,386.37,0.55174,2.0257,1.3471,0.70882,0.00044479,8.80E-06
-74,0.027595,0.027446,0.00070488,0.81542,95.706,386.94,0.55852,2.0212,1.3476,0.71232,0.00043769,8.85E-06
-73,0.029447,0.029291,0.00070636,0.76724,97.055,387.5,0.56527,2.0167,1.3482,0.71588,0.00043077,8.89E-06
-72,0.0314,0.031236,0.00070786,0.72241,98.404,388.07,0.57199,2.0124,1.3488,0.71949,0.00042399,8.94E-06
-71,0.033458,0.033286,0.00070936,0.68068,99.754,388.63,0.57868,2.008,1.3494,0.72317,0.00041738,8.99E-06
-70,0.035624,0.035444,0.00071088,0.6418,101.1,389.2,0.58533,2.0038,1.3501,0.7269,0.0004109,9.03E-06
